id_individual,first_id,date,time,area,local,capture_type,ground_canopy,latitude,longitude,temperature,u_r_a,river_level,family,subfamily,tribo,genus,subgenus,specie,fed_unfed,mite,sex,in_pbs,homogenized_in_pbs,pooled,rna_extracted,extraction_method,c_dna,denv,zikv,yfv,mayv,chikv,wnv,slev,orov,rocio,ilheus,eeev,veev,weev,btv,vsv,carv,temp_15d_before,u_r_a_15d_before,temp_mean_month_before,temp_max_month_before,temp_min_month_before,u_r_a_mean_month_before,u_r_a_max_month_before,u_r_a_min_month_before
1788,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1789,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1790,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1791,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1792,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1793,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1794,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1795,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1796,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1797,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1798,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1799,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1800,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1801,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1802,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1803,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1804,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
1805,1,2025-01-13,pm,s3_porta_da_manga,homestead,atv,near-ground,-19.259342,-57.23722,30.178521728515648,54.8904643673566,NA,culicidae,culicinae,culicini,culex,culex,Culex quinquefasciatus,unfed,not_observed,f,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.260278320312523,47.91778908043647,29.27341715494794,31.542474365234398,25.385034179687523,63.32244950271334,83.61894362934648,46.69650007023187
